companyName,country,city,Year_,Month_,TotalQuantity,TotalRevenue,TotalFreightCosts,TotalNetRevenue
"Hanari Carnes",Brazil,"Rio de Janeiro",2014,8,35,1535,24.82,1510.18
"Hungry Owl All-Night Grocers",Ireland,Cork,2014,8,98,1928,569.32,1358.6799999999998
"Que Delícia",Brazil,"Rio de Janeiro",2014,8,50,636,91.08,544.92
"Maison Dewey",Belgium,Bruxelles,2014,8,35,1434,12.4,1421.6
"Familia Arquibaldo",Brazil,"Sao Paulo",2014,8,85,1820.1999999999998,530.4300000000001,1289.7699999999998
"Die Wandernde Kuh",Germany,Stuttgart,2014,9,59,1225.15,182.85999999999999,1042.2900000000002
"Gourmet Lanchonetes",Brazil,Campinas,2014,9,61,1132.88,115.53,1017.3500000000001
Frankenversand,Germany,München,2014,9,312,4928.25,1299.4499999999998,3628.8
"Berglunds snabbköp",Sweden,Luleå,2014,9,65,4879.2,357.28,4521.92
"Reggiani Caseifici",Italy,"Reggio Emilia",2014,9,20,193,4.41,188.59
"Great Lakes Food Market",USA,Eugene,2014,9,107,1998.35,399.84,1598.51
"Save-a-lot Markets",USA,Boise,2014,9,484,9628.1,3672.06,5956.040000000001
QUICK-Stop,Germany,Cunewalde,2014,9,255,4668,1456.6,3211.4
"Queen Cozinha",Brazil,"Sao Paulo",2014,9,84,1291.6,317.43,974.1699999999998
"Hungry Coyote Import Store",USA,Elgin,2014,9,21,1701,111.29,1589.71
"Hungry Owl All-Night Grocers",Ireland,Cork,2014,9,118,6905.15,924.3900000000001,5980.759999999999
"Lonesome Pine Restaurant",USA,Portland,2014,9,41,1420,80.21,1339.79
"Bon app'",France,Marseille,2014,9,80,2032,339.45000000000005,1692.55
"Furia Bacalhau e Frutos do Mar",Portugal,Lisboa,2014,9,51,1515.75,3.81,1511.94
"Richter Supermarkt",Switzerland,Genève,2014,9,46,4666.9400000000005,464.84,4202.1
"Ernst Handel",Austria,Graz,2014,9,59,1921,156.18,1764.82
"Simons bistro",Denmark,Kobenhavn,2014,9,30,570,24.39,545.61
"France restauration",France,Nantes,2014,9,32,920.1,91.02,829.08
"Wilman Kala",Finland,Helsinki,2014,9,15,412.35,68.28,344.07000000000005
"Island Trading",UK,Cowes,2014,9,5,45,0.9,44.1
"Tortuga Restaurante",Mexico,"Mexico City",2014,9,30,534.85,6.029999999999999,528.82
"Antonio Moreno Taquería",Mexico,"Mexico City",2014,9,102,1332.4,116.45000000000002,1215.95
"Blondesddsl père et fils",France,Strasbourg,2014,9,12,660,27.94,632.06
"Old World Delicatessen",USA,Anchorage,2014,9,110,1682.5,79.83,1602.67
"Du monde entier",France,Nantes,2014,9,9,63,4.4,58.6
"Ottilies Käseladen",Germany,Köln,2014,9,90,1768,436.89,1331.1100000000001
"Piccolo und mehr",Austria,Salzburg,2014,9,45,1638.45,193,1445.45
Vaffeljernet,Denmark,Århus,2014,10,92,3490,897.27,2592.73
"Berglunds snabbköp",Sweden,Luleå,2014,10,35,630,13.42,616.58
"Hanari Carnes",Brazil,"Rio de Janeiro",2014,10,50,1150,31.6,1118.4
QUICK-Stop,Germany,Cunewalde,2014,10,397,15962.3,5294.249999999999,10668.05
"Alfreds Futterkiste",Germany,Berlin,2014,10,41,1208,108.9,1099.1
"White Clover Markets",USA,Seattle,2014,10,164,3798.45,784.18,3014.27
"Wilman Kala",Finland,Helsinki,2014,10,34,642,50.16,591.84
LINO-Delicateses,Venezuela,"I. de Margarita",2014,10,76,1073.9,182.08,891.82
"Ernst Handel",Austria,Graz,2014,10,108,3600.73,1362.3500000000001,2238.38
"Morgenstern Gesundkost",Germany,Leipzig,2014,10,12,114,0.58,113.42
"Save-a-lot Markets",USA,Boise,2014,10,750,13838.599999999999,1506.5999999999995,12332
"Hungry Owl All-Night Grocers",Ireland,Cork,2014,10,130,4608.4,840.7900000000002,3767.6099999999997
"Folk och fä HB",Sweden,Bräcke,2014,10,75,2545,456.90000000000003,2088.1
"Queen Cozinha",Brazil,"Sao Paulo",2014,10,65,595.5,14.34,581.16
HILARION-Abastos,Venezuela,"San Cristóbal",2014,10,24,378,7.04,370.96
"Old World Delicatessen",USA,Anchorage,2014,10,52,1893,406.89,1486.1100000000001
"Around the Horn",UK,London,2014,10,89,1704,65.22,1638.78
"The Big Cheese",USA,Portland,2014,10,9,180.4,5.92,174.48000000000002
"Gourmet Lanchonetes",Brazil,Campinas,2014,10,78,3424,632.4000000000001,2791.6
"Franchi S.p.A.",Italy,Torino,2014,10,10,93.5,9.96,83.53999999999999
"Bon app'",France,Marseille,2014,10,51,1296,126.4,1169.6
"Rancho grande",Argentina,"Buenos Aires",2014,10,22,706,67.71000000000001,638.29
Frankenversand,Germany,München,2014,10,72,1331.75,177.75,1154
"Königlich Essen",Germany,Brandenburg,2014,10,116,3463,683.52,2779.48
"Let's Stop N Shop",USA,"San Francisco",2014,10,55,1125.67,154.32,971.3500000000001
"Que Delícia",Brazil,"Rio de Janeiro",2014,10,29,550,19.06,530.94
"Mère Paillarde",Canada,Montréal,2014,10,21,638.5,115.5,523
"Familia Arquibaldo",Brazil,"Sao Paulo",2014,10,22,287.8,32.49,255.31
"Eastern Connection",UK,London,2014,11,30,655,33.12,621.88
"Reggiani Caseifici",Italy,"Reggio Emilia",2014,11,40,1710,269.70000000000005,1440.3
"Queen Cozinha",Brazil,"Sao Paulo",2014,11,48,1296.75,233.32,1063.43
LINO-Delicateses,Venezuela,"I. de Margarita",2014,11,120,1850,423.18,1426.82
"Bon app'",France,Marseille,2014,11,147,3467.75,144.17000000000002,3323.58
"Chop-suey Chinese",Switzerland,Bern,2014,11,153,4301.7,319.02000000000004,3982.68
"Berglunds snabbköp",Sweden,Luleå,2014,11,61,1459,330.33,1128.67
"Gourmet Lanchonetes",Brazil,Campinas,2014,11,65,1498.35,4.89,1493.4599999999998
"Let's Stop N Shop",USA,"San Francisco",2014,11,22,596,91.94,504.06
"Hungry Owl All-Night Grocers",Ireland,Cork,2014,11,60,997,88.2,908.8
"Vins et alcools Chevalier",France,Reims,2014,11,40,379.8,37.74,342.06
"Spécialités du monde",France,Paris,2014,11,3,52.349999999999994,2.91,49.44
"White Clover Markets",USA,Seattle,2014,11,94,1770,327.52,1442.48
"Around the Horn",UK,London,2014,11,43,621,34.68,586.32
"Bottom-Dollar Markets",Canada,Tsawassen,2014,11,105,3118,731.1899999999999,2386.81
Vaffeljernet,Denmark,Århus,2014,11,50,919.9999999999999,69.19,850.81
QUICK-Stop,Germany,Cunewalde,2014,11,92,4529.8,14.08,4515.72
"Piccolo und mehr",Austria,Salzburg,2014,11,82,1912.85,469.32,1443.53
"Save-a-lot Markets",USA,Boise,2014,11,203,5278,730.4100000000003,4547.59
"Island Trading",UK,Cowes,2014,11,31,1080,184.59,895.41
"Wartian Herkku",Finland,Oulu,2014,11,70,1871.25,237.89999999999998,1633.35
"Richter Supermarkt",Switzerland,Genève,2014,11,197,3346.06,937.6699999999998,2408.3900000000003
North/South,UK,London,2014,11,11,252,2.78,249.22
"Franchi S.p.A.",Italy,Torino,2014,11,9,88,15.4,72.6
"Magazzini Alimentari Riuniti",Italy,Bergamo,2014,11,3,55.199999999999996,2.38,52.81999999999999
"Split Rail Beer & Ale",USA,Lander,2014,11,67,2487.5,292.84,2194.66
"Ana Trujillo Emparedados y helados",Mexico,"Mexico City",2014,11,10,320,11.99,308.01
"Maison Dewey",Belgium,Bruxelles,2014,12,82,3304,466.91999999999996,2837.08
"Rattlesnake Canyon Grocery",USA,Albuquerque,2014,12,53,629.5,37.32,592.18
"Folk och fä HB",Sweden,Bräcke,2014,12,186,5212,1411.3600000000001,3800.64
"Folies gourmandes",France,Lille,2014,12,159,4303,514.45,3788.55
"Ernst Handel",Austria,Graz,2014,12,551,14584,2250.8199999999997,12333.18
QUICK-Stop,Germany,Cunewalde,2014,12,170,2454,128.14,2325.86
"Ottilies Käseladen",Germany,Köln,2014,12,115,2310,472.65000000000003,1837.35
"Suprêmes délices",Belgium,Charleroi,2014,12,2,28,1.59,26.41
"Around the Horn",UK,London,2014,12,103,1668.1,594.3199999999999,1073.78
Vaffeljernet,Denmark,Århus,2014,12,80,1704,260.24,1443.76
"Hanari Carnes",Brazil,"Rio de Janeiro",2014,12,30,1757.5,255.28000000000003,1502.22
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2014,12,43,3603.2200000000003,182.56,3420.6600000000003
"The Cracker Box",USA,Butte,2014,12,9,228,40.5,187.5
"Gourmet Lanchonetes",Brazil,Campinas,2014,12,43,1130,59.47,1070.53
"Berglunds snabbköp",Sweden,Luleå,2014,12,10,96.5,6.79,89.71
"Morgenstern Gesundkost",Germany,Leipzig,2014,12,40,1335,116.26,1218.74
LILA-Supermercado,Venezuela,Barquisimeto,2014,12,50,720,84.26,635.74
"Wartian Herkku",Finland,Oulu,2014,12,58,1132.35,219.48,912.8699999999999
"Cactus Comidas para llevar",Argentina,"Buenos Aires",2014,12,1,12.5,1.1,11.4
"Magazzini Alimentari Riuniti",Italy,Bergamo,2014,12,62,1650,210.27,1439.73
GROSELLA-Restaurante,Venezuela,Caracas,2014,12,20,387.5,3.02,384.48
"Queen Cozinha",Brazil,"Sao Paulo",2014,12,87,1913.85,332.61,1581.2399999999998
"La maison d'Asie",France,Toulouse,2014,12,35,2760.8,499.86,2260.94
Frankenversand,Germany,München,2014,12,34,1926.0600000000002,33.7,1892.3600000000001
"Wolski  Zajazd",Poland,Warszawa,2014,12,28,399.85,71.37,328.48
"Que Delícia",Brazil,"Rio de Janeiro",2014,12,21,393.45,42.98,350.46999999999997
HILARION-Abastos,Venezuela,"San Cristóbal",2014,12,90,2878.08,106.08,2772
"Drachenblut Delikatessen",Germany,Aachen,2014,12,20,420,33.35,386.65
"Island Trading",UK,Cowes,2014,12,12,446.6,4.66,441.94
"Königlich Essen",Germany,Brandenburg,2014,12,65,1585,92.28,1492.72
"Seven Seas Imports",UK,London,2014,12,131,3922.55,494.30999999999995,3428.2400000000002
"Bólido Comidas preparadas",Spain,Madrid,2014,12,60,4035.8,194.18,3841.6200000000003
"Simons bistro",Denmark,Kobenhavn,2014,12,120,3923.75,1029.04,2894.71
"Wellington Importadora",Brazil,Resende,2014,12,54,1255.8,165.69,1090.11
"The Big Cheese",USA,Portland,2014,12,20,2775,474.68,2300.32
"Victuailles en stock",France,Lyon,2014,12,37,572.1,66.33,505.77000000000004
"Franchi S.p.A.",Italy,Torino,2014,12,1,18.4,1.36,17.04
"Old World Delicatessen",USA,Anchorage,2015,1,173,3935.25,774.94,3160.31
"Wellington Importadora",Brazil,Resende,2015,1,20,140,4.87,135.13
"Laughing Bacchus Wine Cellars",Canada,Vancouver,2015,1,17,187,12.99,174.01
LINO-Delicateses,Venezuela,"I. de Margarita",2015,1,158,3700.5,276.91999999999996,3423.58
"Reggiani Caseifici",Italy,"Reggio Emilia",2015,1,76,1852,179.34,1672.66
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2015,1,114,3388,736.96,2651.04
"Victuailles en stock",France,Lyon,2015,1,136,3022,680.5900000000001,2341.41
"Save-a-lot Markets",USA,Boise,2015,1,304,6204.9,2940.04,3264.8599999999997
"Great Lakes Food Market",USA,Eugene,2015,1,50,8891,1439.56,7451.4400000000005
"Königlich Essen",Germany,Brandenburg,2015,1,222,12542.84,1225.3999999999999,11317.44
"Magazzini Alimentari Riuniti",Italy,Bergamo,2015,1,40,833,130.96,702.04
"Cactus Comidas para llevar",Argentina,"Buenos Aires",2015,1,27,477,39.52,437.48
"Rattlesnake Canyon Grocery",USA,Albuquerque,2015,1,101,4124,559.6700000000001,3564.33
"Split Rail Beer & Ale",USA,Lander,2015,1,26,678,73.36,604.64
"Trail's Head Gourmet Provisioners",USA,Kirkland,2015,1,9,237.89999999999998,14,223.89999999999998
LILA-Supermercado,Venezuela,Barquisimeto,2015,1,90,3107.5,655.88,2451.62
"Folk och fä HB",Sweden,Bräcke,2015,1,21,250.8,2.46,248.34
"Drachenblut Delikatessen",Germany,Aachen,2015,1,32,1030.76,158.5,872.26
"Blondesddsl père et fils",France,Strasbourg,2015,1,50,730,14.18,715.82
"Bon app'",France,Marseille,2015,1,36,843,127.08,715.92
"Rancho grande",Argentina,"Buenos Aires",2015,1,7,932,181.7,750.3
"Island Trading",UK,Cowes,2015,1,61,1764,618.88,1145.12
"Tradição Hipermercados",Brazil,"Sao Paulo",2015,1,161,4401.62,457.74,3943.88
"Santé Gourmet",Norway,Stavern,2015,1,27,2684.4,288.76,2395.6400000000003
"La maison d'Asie",France,Toulouse,2015,1,32,568.95,173.04,395.9100000000001
"Ottilies Käseladen",Germany,Köln,2015,1,38,1007.7,214.46999999999997,793.23
"Alfreds Futterkiste",Germany,Berlin,2015,1,17,851,139.06,711.94
"Ernst Handel",Austria,Graz,2015,1,337,8195.5,2259.8399999999997,5935.66
"Berglunds snabbköp",Sweden,Luleå,2015,1,167,3884.9500000000003,619.83,3265.1200000000003
"Suprêmes délices",Belgium,Charleroi,2015,1,182,5693,1866.5800000000002,3826.42
"Tortuga Restaurante",Mexico,"Mexico City",2015,1,52,975,217.68,757.3199999999999
"Piccolo und mehr",Austria,Salzburg,2015,1,35,735,25.22,709.78
QUICK-Stop,Germany,Cunewalde,2015,1,245,4059,1064.8999999999999,2994.1000000000004
"Consolidated Holdings",UK,London,2015,1,33,931.5,76.48,855.02
"Blauer See Delikatessen",Germany,Mannheim,2015,1,10,625,53.83,571.17
"Antonio Moreno Taquería",Mexico,"Mexico City",2015,1,40,660,116.86,543.14
"La corne d'abondance",France,Versailles,2015,1,19,649,157.53,491.47
Frankenversand,Germany,München,2015,1,105,1438.25,228.29999999999998,1209.95
"France restauration",France,Nantes,2015,1,23,519,38.52,480.48
"White Clover Markets",USA,Seattle,2015,1,140,3523.4,74.65,3448.75
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2015,1,33,581,106.46,474.54
HILARION-Abastos,Venezuela,"San Cristóbal",2015,2,92,1453.5,184.70000000000002,1268.8
"Around the Horn",UK,London,2015,2,19,282,6.08,275.92
QUICK-Stop,Germany,Cunewalde,2015,2,160,18870,742.97,18127.03
"Berglunds snabbköp",Sweden,Luleå,2015,2,128,2191.1,424.44,1766.6599999999999
"Lonesome Pine Restaurant",USA,Portland,2015,2,11,134.39999999999998,2.46,131.93999999999997
"Queen Cozinha",Brazil,"Sao Paulo",2015,2,202,3500.85,694.15,2806.7
"Seven Seas Imports",UK,London,2015,2,120,1630,573.12,1056.88
"Wolski  Zajazd",Poland,Warszawa,2015,2,20,587.5,50.37,537.13
"Bon app'",France,Marseille,2015,2,119,3000.4,457.65000000000003,2542.75
"Godos Cocina Típica",Spain,Sevilla,2015,2,151,3939.8,939.1700000000001,3000.63
"Wilman Kala",Finland,Helsinki,2015,2,82,1401,141.47,1259.53
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2015,2,55,2086,76.12,2009.88
"Folk och fä HB",Sweden,Bräcke,2015,2,146,2890.8,352.33,2538.4700000000003
"Cactus Comidas para llevar",Argentina,"Buenos Aires",2015,2,10,150,2.84,147.16
"Save-a-lot Markets",USA,Boise,2015,2,275,3886.4,417.69,3468.71
"Let's Stop N Shop",USA,"San Francisco",2015,2,73,1450.6,272.90999999999997,1177.69
"Suprêmes délices",Belgium,Charleroi,2015,2,87,1209,22.56,1186.44
"Hanari Carnes",Brazil,"Rio de Janeiro",2015,2,226,4059.55,125.1,3934.4500000000003
"Galería del gastrónomo",Spain,Barcelona,2015,2,5,70,1.25,68.75
"Rattlesnake Canyon Grocery",USA,Albuquerque,2015,2,80,11380,561.22,10818.78
"Du monde entier",France,Nantes,2015,2,39,860.1,98.28,761.82
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2015,2,15,388.35,20.37,367.98
"Maison Dewey",Belgium,Bruxelles,2015,2,71,2950.5,185.17000000000002,2765.33
"Königlich Essen",Germany,Brandenburg,2015,2,119,5502.11,388.9,5113.21
"Ernst Handel",Austria,Graz,2015,2,346,6379.4,651,5728.4
"Hungry Owl All-Night Grocers",Ireland,Cork,2015,2,216,19102.640000000003,2368.8999999999996,16733.740000000005
"Océano Atlántico Ltda.",Argentina,"Buenos Aires",2015,2,5,30,1.27,28.73
LILA-Supermercado,Venezuela,Barquisimeto,2015,2,8,144,1.21,142.79
"Wellington Importadora",Brazil,Resende,2015,2,23,405,15.38,389.62
"White Clover Markets",USA,Seattle,2015,2,50,1924.25,325.9,1598.35
"Spécialités du monde",France,Paris,2015,2,14,108.5,9.19,99.31
"Reggiani Caseifici",Italy,"Reggio Emilia",2015,2,34,698,65.92,632.08
"Santé Gourmet",Norway,Stavern,2015,2,32,670,159.14999999999998,510.85
"Tortuga Restaurante",Mexico,"Mexico City",2015,2,50,539.5,10.53,528.97
"Rancho grande",Argentina,"Buenos Aires",2015,2,32,686.7,191.31,495.39000000000004
"Romero y tomillo",Spain,Madrid,2015,3,11,365.89,16.58,349.31
"Bottom-Dollar Markets",Canada,Tsawassen,2015,3,289,9222.6,646.74,8575.86
LINO-Delicateses,Venezuela,"I. de Margarita",2015,3,175,3024.8999999999996,171.04,2853.8599999999997
"Around the Horn",UK,London,2015,3,124,5065,77.05,4987.95
Vaffeljernet,Denmark,Århus,2015,3,140,3343.5,434.55999999999995,2908.94
"Hanari Carnes",Brazil,"Rio de Janeiro",2015,3,147,17111.5,323.39,16788.11
"La maison d'Asie",France,Toulouse,2015,3,44,936,204.78000000000003,731.22
"Berglunds snabbköp",Sweden,Luleå,2015,3,56,2034.5,454.56000000000006,1579.94
"Ana Trujillo Emparedados y helados",Mexico,"Mexico City",2015,3,29,514.4,159.68,354.71999999999997
"La corne d'abondance",France,Versailles,2015,3,64,1343.0500000000002,104.92,1238.13
"Galería del gastrónomo",Spain,Barcelona,2015,3,10,137.5,2.72,134.78
Frankenversand,Germany,München,2015,3,124,1174.75,101.78999999999999,1072.96
"Suprêmes délices",Belgium,Charleroi,2015,3,116,2455,62.2,2392.8
"Richter Supermarkt",Switzerland,Genève,2015,3,143,1319.9,119.75,1200.15
"Bon app'",France,Marseille,2015,3,108,2285.5,578.0999999999999,1707.4
"Island Trading",UK,Cowes,2015,3,32,920.6,108.3,812.3000000000001
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2015,3,20,500,32.01,467.99
"Wellington Importadora",Brazil,Resende,2015,3,33,700,142.77,557.23
"Great Lakes Food Market",USA,Eugene,2015,3,30,570,33.68,536.32
"Cactus Comidas para llevar",Argentina,"Buenos Aires",2015,3,28,644.8,63.02,581.78
QUICK-Stop,Germany,Cunewalde,2015,3,323,7226.5,1506.51,5719.99
"Magazzini Alimentari Riuniti",Italy,Bergamo,2015,3,55,860,155.16,704.84
"Save-a-lot Markets",USA,Boise,2015,3,418,7375.25,3551.979999999999,3823.270000000001
"Reggiani Caseifici",Italy,"Reggio Emilia",2015,3,28,560,17.95,542.05
"B's Beverages",UK,London,2015,3,55,931,9.77,921.23
"Morgenstern Gesundkost",Germany,Leipzig,2015,3,30,245,20.44,224.56
"Godos Cocina Típica",Spain,Sevilla,2015,3,53,2362.25,70.17,2292.08
"Alfreds Futterkiste",Germany,Berlin,2015,3,18,491.2,80.84,410.36
"Folk och fä HB",Sweden,Bräcke,2015,3,142,2636,838.52,1797.48
"Blauer See Delikatessen",Germany,Mannheim,2015,3,34,677,133.95,543.05
HILARION-Abastos,Venezuela,"San Cristóbal",2015,3,132,2951.3,358.2099999999999,2593.09
"Océano Atlántico Ltda.",Argentina,"Buenos Aires",2015,3,101,3001,1020.1200000000001,1980.8799999999999
"Gourmet Lanchonetes",Brazil,Campinas,2015,3,20,155,4.98,150.02
"Queen Cozinha",Brazil,"Sao Paulo",2015,3,66,1122,208.94,913.06
"Furia Bacalhau e Frutos do Mar",Portugal,Lisboa,2015,3,2,68,2.7,65.3
"Spécialités du monde",France,Paris,2015,3,21,2052.5,262.14,1790.3600000000001
"Old World Delicatessen",USA,Anchorage,2015,3,16,848,144.38,703.62
"Chop-suey Chinese",Switzerland,Bern,2015,3,32,1255.6,81.57000000000001,1174.03
"Toms Spezialitäten",Germany,Münster,2015,3,52,910.4,124.44,785.96
"Ernst Handel",Austria,Graz,2015,3,271,6221.5,2342.22,3879.28
"Comércio Mineiro",Brazil,"Sao Paulo",2015,3,9,108,0.21,107.79
"Bólido Comidas preparadas",Spain,Madrid,2015,3,40,280,16.16,263.84
"France restauration",France,Nantes,2015,3,14,1733.0600000000002,121.82,1611.2400000000002
"Split Rail Beer & Ale",USA,Lander,2015,3,10,439,12.96,426.04
"Maison Dewey",Belgium,Bruxelles,2015,3,76,1500.7,131.28,1369.42
"Hungry Owl All-Night Grocers",Ireland,Cork,2015,3,79,2248.2,274.53000000000003,1973.6699999999998
"Eastern Connection",UK,London,2015,3,86,2772,556.4399999999999,2215.56
"Rattlesnake Canyon Grocery",USA,Albuquerque,2015,3,100,3772,122.28,3649.72
"Que Delícia",Brazil,"Rio de Janeiro",2015,3,59,1353.6,104.28,1249.32
"Ernst Handel",Austria,Graz,2015,4,602,16584.5,2971.6000000000004,13612.9
QUICK-Stop,Germany,Cunewalde,2015,4,368,10371.49,1602.5500000000002,8768.939999999999
"The Big Cheese",USA,Portland,2015,4,2,69.6,4.27,65.33
"Folk och fä HB",Sweden,Bräcke,2015,4,251,10196.25,866.2299999999999,9330.02
Vaffeljernet,Denmark,Århus,2015,4,18,990,65.53,924.47
"Pericles Comidas clásicas",Mexico,"Mexico City",2015,4,24,1196,92,1104
LILA-Supermercado,Venezuela,Barquisimeto,2015,4,90,1980,221.73,1758.27
"Wolski  Zajazd",Poland,Warszawa,2015,4,81,1277.6,89.96,1187.6399999999999
"Ottilies Käseladen",Germany,Köln,2015,4,80,2005,332.34999999999997,1672.65
"Rattlesnake Canyon Grocery",USA,Albuquerque,2015,4,85,1075,165.35999999999999,909.64
"Save-a-lot Markets",USA,Boise,2015,4,647,20617.4,5023.740000000001,15593.66
"The Cracker Box",USA,Butte,2015,4,24,326,44.730000000000004,281.27
"Maison Dewey",Belgium,Bruxelles,2015,4,12,295.38,89.68,205.7
"Wilman Kala",Finland,Helsinki,2015,4,12,586,1.5,584.5
"Great Lakes Food Market",USA,Eugene,2015,4,45,1101.58,83.23,1018.3499999999999
"Princesa Isabel Vinhos",Portugal,Lisboa,2015,4,54,2633.9,606.72,2027.18
"Godos Cocina Típica",Spain,Sevilla,2015,4,43,762,180.52999999999997,581.47
"Reggiani Caseifici",Italy,"Reggio Emilia",2015,4,52,1153,117.28,1035.72
"Alfreds Futterkiste",Germany,Berlin,2015,4,60,960,2.42,957.58
Frankenversand,Germany,München,2015,4,146,2974,728.8499999999999,2245.15
"Romero y tomillo",Spain,Madrid,2015,4,36,361,131.96,229.04
LINO-Delicateses,Venezuela,"I. de Margarita",2015,4,160,3360.2,283.6,3076.6
"Santé Gourmet",Norway,Stavern,2015,4,33,622.35,9.24,613.11
"Around the Horn",UK,London,2015,4,31,491.5,67.6,423.9
"Lonesome Pine Restaurant",USA,Portland,2015,4,35,1575,34.95,1540.05
"Rancho grande",Argentina,"Buenos Aires",2015,4,5,76,6.34,69.66
"Hanari Carnes",Brazil,"Rio de Janeiro",2015,4,105,3067,147.06,2919.94
"B's Beverages",UK,London,2015,4,34,1500,247.66,1252.34
"Eastern Connection",UK,London,2015,4,293,6797.3099999999995,1227.56,5569.75
"Wartian Herkku",Finland,Oulu,2015,4,30,300,58.34,241.66
"Franchi S.p.A.",Italy,Torino,2015,4,32,1296,116.14000000000001,1179.86
"Bottom-Dollar Markets",Canada,Tsawassen,2015,4,132,3004.8,270.32,2734.48
"Königlich Essen",Germany,Brandenburg,2015,4,59,2160,59.18,2100.82
"Chop-suey Chinese",Switzerland,Bern,2015,4,92,3173.8,192.12,2981.6800000000003
"White Clover Markets",USA,Seattle,2015,4,90,8902.5,1818.5700000000002,7083.93
"Richter Supermarkt",Switzerland,Genève,2015,4,106,3592,169.48,3422.52
"Old World Delicatessen",USA,Anchorage,2015,4,33,554.4,120.96000000000001,433.43999999999994
"Suprêmes délices",Belgium,Charleroi,2015,4,147,2505.5,89.45,2416.05
"Drachenblut Delikatessen",Germany,Aachen,2015,4,37,1692,298.94,1393.06
"Comércio Mineiro",Brazil,"Sao Paulo",2015,4,19,405.75,59.98,345.77
"Spécialités du monde",France,Paris,2015,4,10,210,8.8,201.2
"Die Wandernde Kuh",Germany,Stuttgart,2015,4,53,1564,214.92000000000002,1349.08
"Gourmet Lanchonetes",Brazil,Campinas,2015,4,14,342,16.68,325.32
"La maison d'Asie",France,Toulouse,2015,4,10,45,2.79,42.21
"Piccolo und mehr",Austria,Salzburg,2015,4,80,3658.75,159.14999999999998,3499.6
"Cactus Comidas para llevar",Argentina,"Buenos Aires",2015,4,30,305,0.66,304.34
HILARION-Abastos,Venezuela,"San Cristóbal",2015,4,70,1727.5,483.68,1243.82
North/South,UK,London,2015,4,3,45,4.13,40.87
"Blauer See Delikatessen",Germany,Mannheim,2015,4,28,858,93.42,764.58
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2015,4,77,1838,257.4,1580.6
"Hungry Owl All-Night Grocers",Ireland,Cork,2015,4,100,1445.5,245.19,1200.31
"Save-a-lot Markets",USA,Boise,2015,5,173,4722.3,150.45,4571.85
LILA-Supermercado,Venezuela,Barquisimeto,2015,5,49,762.56,27.68,734.88
"White Clover Markets",USA,Seattle,2015,5,80,928.75,134.16,794.59
"Drachenblut Delikatessen",Germany,Aachen,2015,5,9,86.85000000000001,7.98,78.87
"Queen Cozinha",Brazil,"Sao Paulo",2015,5,72,2384.8,245.25,2139.55
"Tortuga Restaurante",Mexico,"Mexico City",2015,5,20,360,15.67,344.33
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2015,5,110,1873.5,544,1329.5
"Ernst Handel",Austria,Graz,2015,5,200,5218,1034.56,4183.4400000000005
"Pericles Comidas clásicas",Mexico,"Mexico City",2015,5,30,300,49.9,250.1
"Simons bistro",Denmark,Kobenhavn,2015,5,14,244.29999999999998,18.44,225.85999999999999
"Richter Supermarkt",Switzerland,Genève,2015,5,42,586,18.57,567.43
"Bon app'",France,Marseille,2015,5,50,1057,114.84,942.16
"Rattlesnake Canyon Grocery",USA,Albuquerque,2015,5,72,1374.6,213.25,1161.35
